Title,Channel,URL
Chumbawamba - Tubthumping,ChumbawambaVEVO,https://www.youtube.com/watch?v=2H5uWRjFsGc
Alanis Morissette - You Oughta Know (lyrics) [HD],RSMJ,https://www.youtube.com/watch?v=LuzCwXB4AJQ
All Star,SMASH MOUTH,https://www.youtube.com/watch?v=8ay_BkRuv-o
Green Day - American Idiot lyrics [1080p],MrGreenDayLyrics,https://www.youtube.com/watch?v=a1BS7XnEZqc
Welcome To The Black Parade - My Chemical Romance Lyrics,Romance Taylor,https://www.youtube.com/watch?v=pInrJ72eeUU
[Private video],,https://www.youtube.com/watch?v=YLmIlVJYEtw
Train - Calling All Angels,Train,https://www.youtube.com/watch?v=TaG9SDxwPBg
Evanescence - Bring Me To Life (Official HD Music Video),Evanescence,https://www.youtube.com/watch?v=3YxaaGgTQYM
Linkin Park - Numb Lyrics [HQ] [HD],Rexor,https://www.youtube.com/watch?v=-qZxMY7FZf8
Jet - Are You Gonna Be My Girl,Jet,https://www.youtube.com/watch?v=tuK6n2Lkza0
The Killers - Somebody Told Me (Official Music Video),TheKillersMusic,https://www.youtube.com/watch?v=Y5fBdpreJiU
Modest Mouse - Float On (Official Music Video),Modest Mouse,https://www.youtube.com/watch?v=CTAud5O7Qqk
OK Go - Here It Goes Again (Official Music Video),OK Go,https://www.youtube.com/watch?v=dTAAsCNK7RA
Fall Out Boy - Sugar We're Going Down With Lyrics! HQ,deejayelectronic,https://www.youtube.com/watch?v=Ufb70h78eO4
Iris - The Goo Goo Dolls (lyrics),hausrihanna,https://www.youtube.com/watch?v=aNO6yd66PpA
Stacy's Mom Lyrics (Full Song),Tim Armstrong,https://www.youtube.com/watch?v=7UUPawNC5Lg
blink 182 all the small things lyrics,fuckudumbcuntimnot,https://www.youtube.com/watch?v=ahWmkV0mtvk
[Deleted video],,https://www.youtube.com/watch?v=r5EXKDlf44M
3 doors down - kryptonite (lyrics),v94j,https://www.youtube.com/watch?v=Tpl6ncyxLGw
Owl City - Hot Air Balloon HQ Lyrics,Jonas Christensen,https://www.youtube.com/watch?v=MPmnATNGwzE
P!nk - So What (Official Video),P!NK,https://www.youtube.com/watch?v=FJfFZqTlWrQ
Ain't No Rest For The Wicked by Cage The Elephant |Lyrics|,MrNabled,https://www.youtube.com/watch?v=wBgp5aDH23g
Some Nights- Fun [Lyrics],TheLyricZone,https://www.youtube.com/watch?v=jfThF6cZYo8
Radioactive-Imagine Dragons (Lyrics),BeaattZ z,https://www.youtube.com/watch?v=iO_WxYC34eM
Coldplay - Paradise (Official Video),Coldplay,https://www.youtube.com/watch?v=1G4isv_Fylg
SAIL-Awolnation {lyrics},alysha119,https://www.youtube.com/watch?v=2CaypEojjKQ
Lady Gaga - Edge of Glory Lyrics,BdeisVoicesofSoul,https://www.youtube.com/watch?v=x50ti3k7PCo
Florence + the Machine - Shake It Out (Lyrics),MsEnnaisoj,https://www.youtube.com/watch?v=RCWnVznnWcs
Of Monsters And Men - Little Talks - Lyrics [My Head Is An Animal] HD,scip92,https://www.youtube.com/watch?v=Uwh0fCaYs_4
